player_id,player_name,position,position_group,headshot_url,season,season_type,recent_team,games,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,pacr,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,rec_yards,rec_tds,fumbles,receiving_fumbles_lost,air_yards,yac,rec_first_downs,rec_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance_list,fantasy_points,fantasy_points_ppr,player_name_norm,name_key,catch_rate,yards_per_reception,yards_per_target,targets_per_game
00-0004541,Donald Driver,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/meghf1spsre8cqmyobo7",2012,REG,GB,9,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,,0,8,13,77,2,0,0,121,12,5,4.140569477264279,0,0.6363636363636364,0.02389705882352941,0.02679362267493357,0.05460112410774762,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,19.7,27.7,donald driver,d.driver,0.6153846153846154,9.625,5.923076923076923,1.4444444444444444
00-0006101,Tony Gonzalez,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/enbspvy0ahsyznomitre",2012,REG,ATL,16,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,,0,93,124,930,8,0,0,965,252,65,61.12366350185012,0,0.9637305699481865,0.20294599018003273,0.192845723421263,0.43941099166493314,0,3,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,141.0,234.0,tony gonzalez,t.gonzalez,0.75,10.0,7.5,7.75
00-0011754,Randy Moss,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/udotyrimbuirasxxkd8p",2012,REG,SF,16,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,,0,28,50,434,3,1,0,704,83,22,11.48047409797677,0,0.6164772727272727,0.11600928074245939,0.18458311484006293,0.3032221015017331,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,10,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,61.400000000000006,89.4,randy moss,r.moss,0.56,15.5,8.68,3.125
00-0015754,Brandon Stokley,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/u28x9vmd7ca8k2qnakua",2012,REG,DEN,14,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,,0,45,59,544,5,0,0,589,148,30,27.58515383366095,0,0.9235993208828522,0.10102739726027397,0.12057318321392016,0.23594232414015506,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,84.4,129.4,brandon stokley,b.stokley,0.7627118644067796,12.088888888888889,9.220338983050848,4.214285714285714
00-0019642,Plaxico Burress,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vi3ew9rn7i3rq5sdqmei",2012,REG,PIT,3,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,,0,3,7,42,1,0,0,95,4,3,2.2288091346272267,0,0.4421052631578947,0.012433392539964476,0.01919579713073348,0.032087146801460145,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,10.2,13.2,plaxico burress,p.burress,0.42857142857142855,14.0,6.0,2.3333333333333335
00-0020337,Steve Smith,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/k23e0b8cto93he9rt0zc",2012,REG,CAR,16,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,3,27,0,1,1,1,-3.859166751964949,0,73,138,1174,4,0,0,1832,268,51,25.508378420573877,0,0.6408296943231441,0.2845360824742268,0.40157825515124945,0.7079089023172147,0,2,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,45,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,142.10000000000002,215.10000000000002,steve smith,s.smith,0.5289855072463768,16.08219178082192,8.507246376811594,8.625
00-0020494,Santana Moss,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tbjwt4mvnoev73qqfxcz",2012,REG,WAS,16,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,3,14,0,0,0,1,-0.050732076982967556,0,41,62,573,8,2,1,589,235,27,34.11222600307568,0,0.9728353140916808,0.14285714285714285,0.15479632063074902,0.3226431387272386,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,5,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,104.7,145.7,santana moss,s.moss,0.6612903225806451,13.975609756097562,9.241935483870968,3.875
00-0020498,Reggie Wayne,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xcs1zrjpz03nualfwfts",2012,REG,IND,16,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,1,-5,0,0,0,0,-1.3365797935985029,0,106,195,1355,5,1,1,2068,360,73,3.300844159345924,0,0.6552224371373307,0.3155339805825243,0.32398558671471095,0.7000908815740841,0,6,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,163.0,269.0,reggie wayne,r.wayne,0.5435897435897435,12.783018867924529,6.948717948717949,12.1875
00-0020516,Todd Heap,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lfwhp1fevjrx1puoon94",2012,REG,ARI,2,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,,0,8,13,94,0,0,0,101,37,5,5.057475629007724,0,0.9306930693069307,0.021487603305785124,0.020773344302756066,0.04677274597060693,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,9.4,17.4,todd heap,t.heap,0.6153846153846154,11.75,7.230769230769231,6.5
00-0020804,Corey McIntyre,FB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ovijvmrmt333plngqjsc",2012,REG,BUF,6,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,,0,1,2,9,0,0,0,-5,10,0,0.4483756208792329,0,-1.8,0.003929273084479371,-0.0012588116817724068,0.0050127414494783714,0,3,0,3,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,0.9,1.9,corey mcintyre,c.mcintyre,0.5,9.0,4.5,0.3333333333333333
00-0021147,Donte' Stallworth,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ahqsd0htfjlwpgrd5ot8",2012,REG,NE,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,,0,1,2,63,1,0,0,64,30,1,4.907645060680807,0,0.984375,0.0031545741324921135,0.0115711444585066,0.01283166231969279,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,12.3,13.3,donte' stallworth,d.stallworth,0.5,63.0,31.5,2.0
00-0021163,Jabar Gaffney,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jqsgaxs04w22z72svcxu",2012,REG,MIA,3,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,,0,4,10,68,0,0,0,131,11,3,-4.684047598508187,0,0.5190839694656488,0.02,0.030177378484220224,0.05112416493895415,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,6.800000000000001,10.8,jabar gaffney,j.gaffney,0.4,17.0,6.8,3.3333333333333335
00-0021192,Deion Branch,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xd8wzyqiqepe4rxvqfov",2012,REG,NE,9,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,,0,16,29,145,0,0,0,281,44,10,3.542257391153134,0,0.5160142348754448,0.04574132492113565,0.050804556138130536,0.10417517667839485,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,14.5,30.5,deion branch,d.branch,0.5517241379310345,9.0625,5.0,3.2222222222222223
00-0021236,Randy McMichael,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/s1ebauacar3ua1hlsa8a",2012,REG,LAC,11,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,,0,9,13,51,0,1,0,31,54,3,0.5714737933594733,0,1.6451612903225807,0.025341130604288498,0.00782630648826054,0.04349011044821512,0,0,0,4,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,2,2,0,0,0,5,36,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,5.1000000000000005,14.100000000000001,randy mcmichael,r.mcmichael,0.6923076923076923,5.666666666666667,3.923076923076923,1.1818181818181819
00-0021547,Antonio Gates,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kndulvysinvn4tpvt0bc",2012,REG,LAC,15,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,,0,49,80,538,7,0,0,858,133,30,23.23485288920142,0,0.627039627039627,0.15594541910331383,0.21661196667508206,0.3855465053275282,0,2,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,24,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,95.80000000000001,144.8,antonio gates,a.gates,0.6125,10.979591836734693,6.725,5.333333333333333
00-0021678,Tony Romo,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rdgaxf7djip2ovlkeqjk",2012,REG,DAL,16,425,648,4903,28,19,36,-263,3,3,5715,1952,231,83.81777806119433,2.7151753939688206,1,0.857917760279965,30,49,1,3,0,8,-4.881405489956513,1,1,1,-1,0,0,0,-4,3,0,-0.6501542935147882,0,0.0,0.0015384615384615385,-0.0006918021445866483,0.0018234308064816536,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,2,5,0,0,0,7,35,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,278.92,279.92,tony romo,t.romo,1.0,-1.0,-1.0,0.0625
00-0021756,Will Heller,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/izl9obgruaxjx6nj0hpw",2012,REG,DET,11,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,,0,17,23,150,1,0,0,95,84,9,1.397651063685771,0,1.5789473684210527,0.031506849315068496,0.014710436667698978,0.05755757963999202,0,3,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,21.0,38.0,will heller,w.heller,0.7391304347826086,8.823529411764707,6.521739130434782,2.090909090909091
