player_id,player_name,position,position_group,headshot_url,season,season_type,recent_team,games,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,pacr,rush_attempts,rush_yards,rush_tds,fumbles,rushing_fumbles_lost,rush_first_downs,rush_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance_list,fantasy_points,fantasy_points_ppr,player_name_norm,name_key,yards_per_carry,games_missed
00-0007091,Matt Hasselbeck,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/t1nf9avoy2kauqwrvzza",2012,REG,TEN,8,138,221,1367,7,5,14,-103,2,1,1707,557,72,-13.803309872997753,-1.0784987969831987,1,0.8008201523140012,13,38,0,1,0,3,-3.9442402449203655,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,2,3,0,0,0,4,17,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,76.48,76.48,matt hasselbeck,m.hasselbeck,2.923076923076923,8
00-0010346,Peyton Manning,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xpcd6auodk3w0vda6jal",2012,REG,DEN,16,400,583,4659,37,11,21,-137,2,2,4841,1872,230,163.0164839094579,7.368323057889938,1,0.9624044618880396,23,6,0,0,0,2,-14.117474755941657,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,15,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,310.96000000000004,310.96000000000004,peyton manning,p.manning,0.2608695652173913,0
00-0019596,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",2012,REG,NE,16,401,637,4827,34,8,27,-182,1,0,5508,2218,256,189.2416397708397,1.786965358824957,0,0.8763616557734205,23,32,4,1,0,12,8.530005859693441,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,2,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,19,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,340.28000000000003,340.28000000000003,tom brady,t.brady,1.391304347826087,0
00-0019714,Shane Lechler,P,SPEC,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/we3oe5jqnrb4ag3d4pqu",2012,REG,LV,16,1,1,4,0,0,0,0,0,0,1,3,0,-1.8331251109484583,26.58483386039734,0,4.0,2,0,0,0,0,2,-5.660869786515832,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,0.16,0.16,shane lechler,s.lechler,0.0,0
00-0019770,Jay Feely,K,SPEC,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ncfkhjulzxlddszqfm2u",2012,REG,ARI,16,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,1,0,0,1,0,0,-2.9103712890064344,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,1,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,25,28,2,1,61.0,0.8928571428571429,0,6,9,8,1,1,0,0,0,2,0,0,21;31;38;47;47;27;46;35;49;49;61;28;20;48;28;38;27;32;48;35;51;49;35;35;31,40;47,38,956,87,38,25,25,0,0,1.0,1,1,0,0,46,0.0,0.0,jay feely,j.feely,0.0,0
00-0020245,Mike Vick,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hrg4riwhpjbijfovsjrk",2012,REG,PHI,10,204,351,2362,12,10,28,-153,4,2,3111,1004,114,-2.2506119275999823,0.21074706562149137,0,0.7592414014786243,62,332,1,7,3,25,-15.077450827606961,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,2,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,3,7,0,0,0,2,35,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,151.68,151.68,mike vick,m.vick,5.354838709677419,6
00-0020337,Steve Smith,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/k23e0b8cto93he9rt0zc",2012,REG,CAR,16,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,3,27,0,1,1,1,-3.859166751964949,0,73,138,1174,4,0,0,1832,268,51,25.508378420573877,0,0.6408296943231441,0.2845360824742268,0.40157825515124945,0.7079089023172147,0,2,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,45,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,142.10000000000002,215.10000000000002,steve smith,s.smith,9.0,0
00-0020494,Santana Moss,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tbjwt4mvnoev73qqfxcz",2012,REG,WAS,16,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,3,14,0,0,0,1,-0.050732076982967556,0,41,62,573,8,2,1,589,235,27,34.11222600307568,0,0.9728353140916808,0.14285714285714285,0.15479632063074902,0.3226431387272386,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,5,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,104.7,145.7,santana moss,s.moss,4.666666666666667,0
00-0020498,Reggie Wayne,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xcs1zrjpz03nualfwfts",2012,REG,IND,16,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,1,-5,0,0,0,0,-1.3365797935985029,0,106,195,1355,5,1,1,2068,360,73,3.300844159345924,0,0.6552224371373307,0.3155339805825243,0.32398558671471095,0.7000908815740841,0,6,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,163.0,269.0,reggie wayne,r.wayne,-5.0,0
00-0020531,Drew Brees,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bt6nv11jgsirnuymookt",2012,REG,NO,16,422,670,5177,43,19,26,-190,4,1,5468,2158,267,114.68509710656895,0.9945203040353384,0,0.946781272860278,15,5,1,0,0,2,-0.8745984965353273,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,2,2,0,0,0,6,69,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,345.58000000000004,345.58000000000004,drew brees,d.brees,0.3333333333333333,0
